Business File Number,License Type,Entity Name,Trade Name,Current License Status,Expiration Date,Facility Street Number,Facility Pre-Direction,Facility Street Name,Facility Street Type,Facility Unit Number,Facility City,Facility Zip Code,Year,Street_Address,Lat,Lng
2013-BFN-1069426,Retail Marijuana Store,"COMPASSIONATE CARE GIVERS, INC",ROCKY MOUNTAIN HIGH,License Issued - Active,3/24/2020 0:00,1538,,WAZEE,ST,100,DENVER,80202.0,2013,1538  WAZEE ST,39.7506213,-105.0002813
2013-BFN-1069355,Retail Marijuana Store,"MAGNA MARKETING, INC",HERBS 4 YOU,License Issued - Active,2/18/2020 0:00,20,E,9TH,AVE,,DENVER,80203.0,2013,20 E 9TH AVE,39.7302778,-104.9864848
2013-BFN-1068988,Retail Marijuana Store,"MAYFLOWER GROUP, LLC",THE HEALTH CENTER,License Issued - Active,1/1/2020 0:00,1736,N,DOWNING,ST,,DENVER,80218.0,2013,1736 N DOWNING ST,39.7440823,-104.9730775
2015-BFN-0001994,Retail Marijuana Store,HADCAV ENTERPRISES INC.,PURE MEDICAL DISPENSARY,License Issued - Active,8/18/2020 0:00,5702,E,COLFAX,AVE,,DENVER,80220.0,2015,5702 E COLFAX AVE,39.7399207,-104.9214396
2015-BFN-0007857,Retail Marijuana Store,D & D CONSULTING INC,SOUTHWEST ALTERNATIVE CARE FOX ST,License Issued - Active,4/11/2020 0:00,1075,S,FOX,ST,,DENVER,80223.0,2015,1075 S FOX ST,39.6973864,-104.9948379
2015-BFN-0006479,Retail Marijuana Store,"SIMPLY PURE COLORADO, LLC",SIMPLY PURE,License Issued - Active,12/7/2019 0:00,2000,W,32ND,AVE,,DENVER,80211.0,2015,2000 W 32ND AVE,39.761868,-105.0114996
2013-BFN-1068858,Retail Marijuana Store,"5110 SANCTUARY, LLC",EVERBLOOM,License Issued - Active,1/9/2020 0:00,5110,N,RACE,ST,,DENVER,80216.0,2013,5110 N RACE ST,39.7883088,-104.9631169
2013-BFN-1069459,Retail Marijuana Store,"GANJA GOURMET, LLC",GANJA GOURMET,License Issued - Active,1/22/2020 0:00,1810,S,BROADWAY,,,DENVER,80210.0,2013,1810 S BROADWAY ,39.6837002,-104.9872836
2016-BFN-0004810,Retail Marijuana Store,"BK HOLDINGS, LLC",THE HERBAL CENTER,License Issued - Active,1/11/2020 0:00,1909,S,BROADWAY,,,DENVER,80210.0,2016,1909 S BROADWAY ,39.681847,-104.98788
2013-BFN-1069215,Retail Marijuana Store,"A CUT OFF THE TOP MEDICAL MARIJUANA, LLC",,License Issued - Active,11/24/2019 0:00,2059,W,9TH,AVE,,DENVER,80204.0,2013,2059 W 9TH AVE,39.7312738,-105.0124127
2013-BFN-1069392,Retail Marijuana Store,WASH PARK BOUTIQUE LLC,LUCY SKY CANNABIS BOUTIQUE,License Issued - Active,1/17/2020 0:00,2394,S,BROADWAY,,,DENVER,80210.0,2013,2394 S BROADWAY ,39.6732089,-104.9873293
2013-BFN-1069488,Retail Marijuana Store,"GREEN KIWI 2, LLC",LIVWELL,License Issued - Active,2/24/2020 0:00,1660,N,PEARL,ST,,DENVER,80203.0,2013,1660 N PEARL ST,39.7428475,-104.9795471
2013-BFN-1069905,Retail Marijuana Store,CO-AGRONOMICS LLC,THE GREEN DEPOT,License Issued - Active,3/17/2020 0:00,2020,S,BROADWAY,,,DENVER,80210.0,2013,2020 S BROADWAY ,39.67969310000001,-104.9870326
2014-BFN-1072789,Retail Marijuana Store,"GAS AND GRASS, LLC",ROLLUP,License Issued - Active,8/19/2020 0:00,4500,N,WASHINGTON,ST,B,DENVER,80216.0,2014,4500 N WASHINGTON ST,39.7543922,-104.9779073
2013-BFN-1069314,Retail Marijuana Store,TIMBERLINE HERBAL CLINIC & WELLNESS CENTER LLC,,License Issued - Active,1/3/2020 0:00,3995,E,50TH,AVE,,DENVER,80216.0,2013,3995 E 50TH AVE,39.7874672,-104.9411327
2013-BFN-1068848,Retail Marijuana Store,"CANOSA PROPERTY INVESTMENTS, LLC",BOTANICO 2,License Issued - Active,1/1/2020 0:00,777,N,CANOSA,CT,102,DENVER,80204.0,2013,777 N CANOSA CT,39.702492,-105.019529
2013-BFN-1068933,Retail Marijuana Store,"CITI-MED, LLC",STARBUDS,License Issued - Active,1/1/2020 0:00,1640,E,EVANS,AVE,,DENVER,80210.0,2013,1640 E EVANS AVE,39.6783367,-104.9678186
2013-BFN-1069128,Retail Marijuana Store,HIGHLANDS WELLNESS CENTER LLC,THE CLINIC HIGHLANDS,License Issued - Active,7/3/2020 0:00,3460,W,32ND,AVE,,DENVER,80211.0,2013,3460 W 32ND AVE,39.7619962,-105.0336657
2015-BFN-0001687,Retail Marijuana Store,"GREEN KIWI 1, LLC",LIVWELL,License Issued - Active,1/28/2020 0:00,3955,N,ONEIDA,ST,,DENVER,80207.0,2015,3955 N ONEIDA ST,39.7719229,-104.9079966
2013-BFN-1069273,Retail Marijuana Store,TETRAHYDROCENTER LLC,"TETRAHYDROCENTER, LLC",License Issued - Active,3/7/2020 0:00,9206,E,HAMPDEN,AVE,,DENVER,80231.0,2013,9206 E HAMPDEN AVE,39.65168600000001,-104.880609
2015-BFN-0006106,Retail Marijuana Store,"LIGHTSHADE LABS, LLC",LIGHTSHADE,License Issued - Active,2/3/2020 0:00,745,E,6TH,AVE,,DENVER,80203.0,2015,745 E 6TH AVE,39.7258971,-104.9780181
2013-BFN-1070234,Retail Marijuana Store,"LIGHTSHADE LABS, LLC",LIGHTSHADE,License Issued - Active,2/26/2020 0:00,3950,N,HOLLY,ST,,DENVER,80207.0,2013,3950 N HOLLY ST,39.7721655,-104.9217749
2013-BFN-1069335,Retail Marijuana Store,HOLLY MEDICINAL SERVICES LLC,THE CLINIC ON COLORADO,License Issued - Active,1/1/2020 0:00,2020,S,COLORADO,BLVD,,DENVER,80222.0,2013,2020 S COLORADO BLVD,39.6797481,-104.9403912
2015-BFN-0000480,Retail Marijuana Store,"UNIVERSAL HERBS, LLC",UNIVERSAL HERBS,License Issued - Active,9/22/2020 0:00,800,,PARK AVE WEST,,,DENVER,80205.0,2015,800  PARK AVE WEST ,39.7523991,-104.9849101
2013-BFN-1068934,Retail Marijuana Store,"COLORADO HEALTH CONSULTANTS, LLC",STARBUDS,License Issued - Active,1/7/2020 0:00,4690,N,BRIGHTON,BLVD,,DENVER,80216.0,2013,4690 N BRIGHTON BLVD,39.7818046,-104.9664941
2013-BFN-1068852,Retail Marijuana Store,"4095 SHELTER, LLC",EVERBLOOM,License Issued - Active,1/1/2020 0:00,4095,N,JACKSON,ST,,DENVER,80216.0,2013,4095 N JACKSON ST,39.7736715,-104.9433116
2013-BFN-1069000,Retail Marijuana Store,"DKC, LLC",DENVER KUSH CLUB,License Issued - Active,1/1/2020 0:00,2615,,WELTON,ST,,DENVER,80205.0,2013,2615  WELTON ST,39.7542725,-104.9791249
2014-BFN-1072818,Retail Marijuana Store,"PLATTE VALLEY DISPENSARY, LLC",PLATTE VALLEY DISPENSARY,License Issued - Active,8/4/2020 0:00,2301,,7TH,ST,B,DENVER,80211.0,2014,2301  7TH ST,39.75219800000001,-105.014785
2016-BFN-0008826,Retail Marijuana Store,SUMMIT WELLNESS,DEN-REC DENVER RECREATIONAL DISPENSARY,License Issued - Active,7/13/2020 0:00,2042,S,BANNOCK,ST,,DENVER,80223.0,2016,2042 S BANNOCK ST,39.679316,-104.9897484
2015-BFN-0006731,Retail Marijuana Store,RME GROUP LLC,AFFINITY,License Issued - Active,1/8/2020 0:00,7739,E,COLFAX,AVE,,DENVER,80220.0,2015,7739 E COLFAX AVE,39.740438,-104.8979919
2013-BFN-1070007,Retail Marijuana Store,"METRO CANNABIS, INC.",SILVER STEM FINE CANNABIS,License Issued - Active,4/15/2020 0:00,8151,E,COLFAX,AVE,,DENVER,80220.0,2013,8151 E COLFAX AVE,39.7403234,-104.8931403
2015-BFN-0004354,Retail Marijuana Store,M.J.L.Q LLC,WHOLE MEDS,License Issued - Active,9/22/2020 0:00,3450,N,BRIGHTON,BLVD,,DENVER,80216.0,2015,3450 N BRIGHTON BLVD,39.7699617,-104.9788853
2015-BFN-0001752,Retail Marijuana Store,SOUTHWEST ALTERNATIVE CARE LLC,,License Issued - Active,11/25/2019 0:00,3937,W,COLFAX,AVE,,DENVER,80204.0,2015,3937 W COLFAX AVE,39.74050099999999,-105.039054
2014-BFN-0005610,Retail Marijuana Store,"JVJC HOLDINGS II, LLC",,License Issued - Active,3/18/2020 0:00,105,E,7TH,AVE,,DENVER,80203.0,2014,105 E 7TH AVE,39.7275,-104.9855948
2013-BFN-1069397,Retail Marijuana Store,"DISCOUNT MEDICAL MARIJUANA, LLC",HIGH LEVEL HEALTH,License Issued - Active,4/3/2020 0:00,2028,E,COLFAX,AVE,,DENVER,80206.0,2013,2028 E COLFAX AVE,39.7398554,-104.9625714
2013-BFN-1069249,Retail Marijuana Store,STONE T.M.C. LLC,THE STONE DISPENSARY,License Issued - Active,12/4/2019 0:00,4820,,MORRISON,RD,,DENVER,80219.0,2013,4820  MORRISON RD,39.6992756,-105.0487779
2013-BFN-1069396,Retail Marijuana Store,DISCOUNT MEDICAL MARIJUANA LLC,HIGH LEVEL HEALTH,License Issued - Active,1/21/2020 0:00,970,N,LINCOLN,ST,,DENVER,80203.0,2013,970 N LINCOLN ST,39.7317372,-104.985926
2016-BFN-0003367,Retail Marijuana Store,"UNIVERSAL HERBS, LLC",UNIVERSAL HERBS,License Issued - Active,2/3/2020 0:00,755,S,JASON,ST,100,DENVER,80223.0,2016,755 S JASON ST,39.7028464,-104.9996373
2014-BFN-0004211,Retail Marijuana Store,"RJJ HIGHLANDS, LLC",NATIVE ROOTS HIGHLANDS,License Issued - Active,2/12/2020 0:00,2209,W,32ND,AVE,,DENVER,80211.0,2014,2209 W 32ND AVE,39.76222509999999,-105.0131202
2013-BFN-1069253,Retail Marijuana Store,"1617 WAZEE STREET, LLC",LODO WELLNESS CENTER,License Issued - Active,1/1/2020 0:00,1617,,WAZEE,ST,B,DENVER,80202.0,2013,1617  WAZEE ST,39.7517438,-104.9999047
2013-BFN-1069038,Retail Marijuana Store,"CJJ SERVICES, LLC",SACRED SEED,License Issued - Active,1/9/2020 0:00,5885,E,EVANS,AVE,,DENVER,80222.0,2013,5885 E EVANS AVE,39.6791961,-104.9196305
2013-BFN-1069815,Retail Marijuana Store,ALTITUDE WELLNESS CENTER. LLC,NATURE'S HERBS & WELLENSS DTC,License Issued - Active,10/31/2020 0:00,3435,S,YOSEMITE,ST,200,DENVER,80231.0,2013,3435 S YOSEMITE ST,39.6547655,-104.8851037
2013-BFN-1070405,Retail Marijuana Store,"COMPASSIONATE CARE GIVERS, INC",CANNABIS STATION,License Issued - Active,6/9/2020 0:00,1201,,20TH,ST,,DENVER,80202.0,2013,1201  20TH ST,39.7526053,-104.991699
2013-BFN-1069489,Retail Marijuana Store,"GREEN KIWI 2, LLC",LIVWELL,License Issued - Active,2/13/2020 0:00,3980,N,FRANKLIN,ST,101,DENVER,80205.0,2013,3980 N FRANKLIN ST,39.77263749999999,-104.9680612
2013-BFN-1070404,Retail Marijuana Store,SUMMIT WELLNESS,DEN-REC DENVER RECREATIONAL DISPENSARY,License Issued - Active,7/14/2020 0:00,2117,,LARIMER,ST,1,DENVER,80205.0,2013,2117  LARIMER ST,39.7543639,-104.9912309
2013-BFN-1070230,Retail Marijuana Store,"DENVER PATIENTS GROUP, LLC",LIVWELL,License Issued - Active,3/6/2020 0:00,2863,,LARIMER,ST,,DENVER,80205.0,2013,2863  LARIMER ST,39.7613598,-104.9820346
2013-BFN-1069656,Retail Marijuana Store,"ALCC, LLC",THE DAB BY NEXT HARVEST,License Issued - Active,4/17/2020 0:00,2748,W,ALAMEDA,AVE,,DENVER,80219.0,2013,2748 W ALAMEDA AVE,39.7109594,-105.0217486
